Station, Lat, Long, Depth, Temp, Sal
1, -3.832, 187.165, 364.962, 9.8075, 34.7214
1, -3.832, 187.165, 365.974, 9.8026, 34.7211
1, -3.832, 187.165, 366.915, 9.7945, 34.7213
1, -3.832, 187.165, 367.979, 9.782, 34.7224
1, -3.832, 187.165, 369.045, 9.7763, 34.7203
1, -3.832, 187.165, 369.96, 9.7724, 34.7196
1, -3.832, 187.165, 370.963, 9.7703, 34.7197
1, -3.832, 187.165, 371.965, 9.7684, 34.7195
1, -3.832, 187.165, 372.953, 9.7661, 34.7194
1, -3.832, 187.165, 374.007, 9.7634, 34.7188
1, -3.832, 187.165, 375.064, 9.7562, 34.719
1, -3.832, 187.165, 375.965, 9.7511, 34.7186
1, -3.832, 187.165, 376.894, 9.7503, 34.718
1, -3.832, 187.165, 377.912, 9.7496, 34.7173
1, -3.832, 187.165, 378.993, 9.7439, 34.717
1, -3.832, 187.165, 379.973, 9.733, 34.7176
1, -3.832, 187.165, 381.02, 9.7264, 34.7177
1, -3.832, 187.165, 381.973, 9.7017, 34.715
1, -3.832, 187.165, 382.962, 9.6612, 34.7136
1, -3.832, 187.165, 383.882, 9.6525, 34.7117
1, -3.832, 187.165, 384.919, 9.639, 34.7117
1, -3.832, 187.165, 385.92, 9.6232, 34.7114
1, -3.832, 187.165, 387.016, 9.5998, 34.7114
1, -3.832, 187.165, 388.011, 9.5787, 34.7117
1, -3.832, 187.165, 389.169, 9.5723, 34.7071
1, -3.832, 187.165, 389.861, 9.539, 34.7077
1, -3.832, 187.165, 390.909, 9.54, 34.7035
1, -3.832, 187.165, 391.96, 9.5298, 34.7048
1, -3.832, 187.165, 393.091, 9.5166, 34.7061
1, -3.832, 187.165, 394.093, 9.5084, 34.7048
1, -3.832, 187.165, 395.031, 9.4982, 34.7045
1, -3.832, 187.165, 395.983, 9.4767, 34.7028
1, -3.832, 187.165, 396.98, 9.4535, 34.6999
1, -3.832, 187.165, 398.085, 9.4448, 34.7002
1, -3.832, 187.165, 399.019, 9.4362, 34.7002
1, -3.832, 187.165, 400.028, 9.4273, 34.6997
1, -3.832, 187.165, 401.048, 9.42, 34.6987
1, -3.832, 187.165, 402.003, 9.4108, 34.6984
1, -3.832, 187.165, 403.043, 9.3899, 34.6983
1, -3.832, 187.165, 403.963, 9.3773, 34.6959
1, -3.832, 187.165, 404.986, 9.367, 34.695
1, -3.832, 187.165, 406.039, 9.3609, 34.6948
1, -3.832, 187.165, 407.088, 9.3535, 34.6942
1, -3.832, 187.165, 407.96, 9.345, 34.6933
1, -3.832, 187.165, 408.916, 9.3291, 34.693
1, -3.832, 187.165, 410.061, 9.2857, 34.6922
1, -3.832, 187.165, 410.986, 9.2181, 34.6909
1, -3.832, 187.165, 412.031, 9.169, 34.6887
1, -3.832, 187.165, 412.935, 9.1456, 34.6867
1, -3.832, 187.165, 413.982, 9.1367, 34.6835
1, -3.832, 187.165, 414.971, 9.1338, 34.6829
1, -3.832, 187.165, 415.867, 9.127, 34.6834
1, -3.832, 187.165, 416.979, 9.1169, 34.6838
1, -3.832, 187.165, 418.103, 9.1085, 34.6821
1, -3.832, 187.165, 418.983, 9.0779, 34.682
1, -3.832, 187.165, 419.928, 9.0575, 34.68
1, -3.832, 187.165, 420.948, 9.0466, 34.6792
1, -3.832, 187.165, 422.06, 9.0263, 34.6786
1, -3.832, 187.165, 423.002, 9.002, 34.6791
1, -3.832, 187.165, 423.946, 8.992, 34.6765
1, -3.832, 187.165, 425.011, 8.9793, 34.6756
1, -3.832, 187.165, 426.077, 8.9595, 34.6748
1, -3.832, 187.165, 427.009, 8.9331, 34.6746
