Lat, Long, Depth, Temp, Sal
-1.42, 185.498, 217.5168, 12.52294, 34.93003
-1.42, 185.498, 227.9987273, 12.10103636, 34.89387273
-1.42, 185.498, 238.0001111, 11.68491111, 34.85798889
-1.42, 185.498, 247.9755455, 11.42501818, 34.83400909
-1.42, 185.498, 258.4517, 11.12411, 34.80352
-1.42, 185.498, 268.5343, 10.92351, 34.78839
-1.42, 185.498, 278.4769, 10.80854, 34.78007
-1.42, 185.498, 287.9785556, 10.78692222, 34.77812222
-1.42, 185.498, 298.0016364, 10.75503636, 34.77610909
-1.42, 185.498, 307.9981111, 10.64897778, 34.77054444
-1.42, 185.498, 317.9893636, 10.56215455, 34.76459091
-1.42, 185.498, 328.476, 10.42191, 34.75602
-1.42, 185.498, 337.9946667, 10.37386667, 34.75252222
-1.42, 185.498, 348.0095455, 10.31562727, 34.74910909
-1.42, 185.498, 358.0274444, 10.2241, 34.74343333
-1.42, 185.498, 367.4954, 10.1233, 34.73747
-1.42, 185.498, 378.0313636, 9.9846, 34.73045455
-1.42, 185.498, 388.4563, 9.85878, 34.7227
-1.42, 185.498, 397.9817778, 9.774077778, 34.71706667
-1.42, 185.498, 408.0198182, 9.602772727, 34.70816364
-1.42, 185.498, 417.9916667, 9.495877778, 34.70197778
-1.42, 185.498, 428.0023636, 9.169281818, 34.68752727
-1.42, 185.498, 437.9933333, 8.839322222, 34.66883333
-1.42, 185.498, 448.0081818, 8.622809091, 34.65518182
-1.42, 185.498, 457.9944444, 8.4058, 34.64291111
-1.42, 185.498, 468.0293636, 8.132163636, 34.62911818
-1.42, 185.498, 478.0074444, 7.944444444, 34.61832222
-1.42, 185.498, 488.0200909, 7.814172727, 34.61002727
-1.42, 185.498, 497.9672222, 7.617744444, 34.59977778
-1.42, 185.498, 507.5009, 7.42839, 34.58846
-1.42, 185.498, 517.5063, 7.16741, 34.5784
-1.42, 185.498, 527.5103, 6.93563, 34.57107
-1.42, 185.498, 537.4857, 6.86566, 34.57093
-1.42, 185.498, 548.0108182, 6.839618182, 34.56967273
-1.42, 185.498, 558.0312222, 6.793111111, 34.56752222
-1.42, 185.498, 567.9803636, 6.767863636, 34.56714545
-1.42, 185.498, 578.4658, 6.73891, 34.56682
-1.638, 185.317, 17.514, 30.32781, 34.61867
-1.638, 185.317, 27.507, 30.32195, 34.62764
-1.638, 185.317, 37.5179, 30.26249, 34.63272
-1.638, 185.317, 48.01863636, 30.19415455, 34.63996364
-1.638, 185.317, 58.01355556, 30.18811111, 34.66665556
-1.638, 185.317, 67.4905, 30.24735, 34.77295
-1.638, 185.317, 77.4836, 30.31694, 35.22891
-1.638, 185.317, 88.00772727, 29.85670909, 35.45770909
-1.638, 185.317, 98.00933333, 28.26096667, 35.37196667
-1.638, 185.317, 108.0390909, 27.76397273, 35.38040909
-1.638, 185.317, 118.4636, 27.05521, 35.48227
-1.638, 185.317, 128.5125, 26.35145, 35.61135
-1.638, 185.317, 137.9847778, 25.68807778, 35.68724444
-1.638, 185.317, 148.0210909, 23.40938182, 35.76990909
-1.638, 185.317, 158.4518, 20.14717, 35.62344
-1.638, 185.317, 167.999, 17.04897778, 35.36625556
-1.638, 185.317, 177.9937273, 15.29740909, 35.1968
-1.638, 185.317, 188.0482222, 13.57357778, 35.03861111
-1.638, 185.317, 198.0298182, 12.47325455, 34.93531818
-1.638, 185.317, 207.9946667, 12.25161111, 34.90774444
-1.638, 185.317, 217.5167, 12.01476, 34.88803
-1.638, 185.317, 227.4936, 11.6723, 34.85654
-1.638, 185.317, 237.4978, 11.35929, 34.82999
